color;player name;platform;player id;car id;car name;game duration;score;goals;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken;result;source_file
orange;wilby_high;Epic;c01a65861c654ad8bb3c5f01e87dd9ee;4284;Fennec;145;685;5;0;8;2;1;1;62.5;437;49.07;1073;892;181;12;15;366;294;72;5;6;16.89;18.82;283;307;205;1530;187763;68.77;47.36;58.04;39.97;18.4;12.67;92.83;63.93;47.51;32.72;4.86;3.35;2.78;0.19;15;124.4;124.4;1813;1929;1512;116.64;80.33;28.57;19.67;71.35;49.14;73.86;50.86;46.83;32.25;50.73;34.94;47.65;32.81;0;0;winner;896ef983-5fbf-48e5-be4a-e9982fc9fb51-players.csv
blue;Tikhail Mal;Steam;76561198260747417;4284;Fennec;373;1424;7;3;11;5;2;2;63.64;492;50.26;3153;2580;573;33;53;1170;932;238;11;23;40.88;48.88;349;729;167;1511;504962;178.82;47.97;135.85;36.45;58.07;15.58;189.71;50.9;170.08;45.63;12.94;3.47;8.12;0.09;94;336.7;336.7;1326;1166;1571;303.48;81.42;69.24;18.58;200.77;53.87;171.95;46.13;141.21;37.89;109.95;29.5;121.57;32.62;1;0;winner;89b6cb54-1e4d-4921-a1c1-5836d7ba7ad5-players.csv
orange;Chicken;Steam;76561198389415182;4284;Fennec;373;742;2;4;5;11;7;7;40.0;342;34.55;2029;1231;798;15;70;448;254;194;3;17;39.39;29.08;259;194;45;1427;470531;205.73;55.64;116.18;31.42;47.81;12.93;196.96;53.27;160.96;43.54;11.8;3.19;4.91;0.14;35;336.6;336.6;1688;1297;1901;286.42;77.47;83.29;22.53;254.87;68.94;114.84;31.06;192.47;52.06;107.39;29.05;69.85;18.89;0;1;loser;89b6cb54-1e4d-4921-a1c1-5836d7ba7ad5-players.csv
blue;LMNS;Epic;37589e469be84a848ca150fbe5b4866d;23;Octane;353;885;2;5;8;9;3;3;25.0;509;48.48;2730;2053;677;29;55;1043;787;256;11;23;25.36;41.86;485;853;317;1583;515639;151.23;43.23;131.13;37.48;67.46;19.28;172.72;49.37;154.14;44.06;22.96;6.56;5.57;0.11;49;330.8;330.8;1423;1097;1709;258.43;73.88;91.39;26.12;193.27;55.25;156.55;44.75;140.37;40.13;98.33;28.11;111.11;31.76;1;1;loser;8ac5bb86-eb62-4700-bf16-701fe7bafa96-players.csv
orange;Pat;Steam;76561198863718697;4284;Fennec;353;1067;3;5;9;8;2;2;33.33;394;52.46;2194;1690;504;22;49;342;157;185;3;18;27.93;38.38;235;401;86;1507;490534;172.55;49.33;128.9;36.85;48.31;13.81;177.17;50.65;160.5;45.89;12.09;3.46;6.44;0.14;47;330.8;330.8;1450;1172;1676;275.76;78.84;74.0;21.16;226.84;64.86;122.92;35.14;178.38;51.0;89.25;25.52;82.13;23.48;1;1;winner;8ac5bb86-eb62-4700-bf16-701fe7bafa96-players.csv
blue;RosettenRasen;Epic;8b320dbcb3ab4f389990065a25086ac5;4284;Fennec;411;1039;5;2;9;8;4;4;55.56;488;53.31;3204;2624;580;38;56;660;472;188;7;19;28.81;61.27;823;1039;140;1604;596498;176.5;42.99;157.36;38.32;76.74;18.69;225.49;54.92;163.2;39.75;21.9;5.33;13.53;0.08;175;371.1;371.1;1720;1460;1923;328.18;79.93;82.41;20.07;255.51;62.23;155.08;37.77;188.21;45.84;129.85;31.62;92.54;22.54;3;0;winner;8af8dd40-2018-4ffd-bc24-dfebfe002a54-players.csv
orange;wo e;Epic;dd5d6f95e1674e3789a01eee09ea7f8a;4284;Fennec;411;997;4;3;8;9;5;5;50.0;504;44.98;3064;2460;604;29;53;446;180;266;2;24;38.88;50.22;214;450;20;1578;570176;171.38;43.01;149.3;37.47;77.8;19.52;179.36;45.01;194.54;48.82;24.58;6.17;6.56;0.09;74;371.2;371.2;1599;1327;1910;290.0;72.78;108.48;27.22;239.42;60.08;159.06;39.92;166.11;41.68;134.37;33.72;98.01;24.6;0;3;loser;8af8dd40-2018-4ffd-bc24-dfebfe002a54-players.csv
blue;nadashipman1939;Epic;638feec5cc8a49409e1a18dfe045be15;23;Octane;181;974;6;1;7;3;3;3;85.71;392;36.9;896;698;198;8;18;321;277;44;3;4;11.5;5.72;82;110;22;1449;206416;96.19;54.47;61.08;34.59;19.31;10.94;83.33;47.19;80.37;45.51;12.88;7.29;4.02;0.06;66;148.6;148.6;1917;1597;2193;154.66;87.59;21.92;12.41;107.7;60.99;68.88;39.01;77.53;43.9;49.36;27.95;49.7;28.14;0;1;winner;8bae3a98-b5d0-4a02-86b3-b9a9deeb8f62-players.csv
orange;buckle;Steam;76561199029295891;4284;Fennec;181;491;3;0;3;7;6;6;100.0;377;33.56;865;565;300;6;27;165;97;68;1;6;16.77;5.26;91;37;5;1506;218981;89.62;50.14;63.28;35.4;25.85;14.46;86.64;48.47;79.05;44.22;13.06;7.31;2.81;0.1;28;144.5;144.5;1758;1310;1842;113.47;63.48;65.28;36.52;129.04;72.19;49.71;27.81;96.47;53.97;52.73;29.5;29.55;16.53;1;0;loser;8bae3a98-b5d0-4a02-86b3-b9a9deeb8f62-players.csv
blue;Twitch Rin;Epic;30a2677dbf264cae8142942418a493f0;4284;Fennec;412;1108;6;2;7;6;5;5;85.71;412;47.79;2951;2278;673;28;60;351;147;204;2;19;39.9;35.38;269;530;56;1502;548480;214.47;52.14;144.16;35.05;52.69;12.81;243.77;59.27;163.13;39.66;4.42;1.07;7.22;0.17;43;367.8;367.8;1873;1729;2009;329.96;80.22;81.36;19.78;266.21;64.72;145.11;35.28;182.2;44.3;144.85;35.22;84.27;20.49;0;0;winner;8c8f2192-2ea9-4c59-9614-2e61598090f1-players.csv
orange;Sub'N;Steam;76561198040631598;403;Dominus;412;972;5;1;6;7;6;6;83.33;457;42.51;2881;2153;728;29;67;497;200;297;3;26;27.23;41.64;257;516;99;1552;569379;189.15;45.98;145.31;35.32;76.95;18.7;193.86;47.12;207.27;50.38;10.28;2.5;5.88;0.12;49;367.8;367.8;1826;1494;2166;291.77;70.92;119.65;29.08;252.51;61.38;158.91;38.62;179.9;43.73;144.68;35.17;86.83;21.11;0;0;loser;8c8f2192-2ea9-4c59-9614-2e61598090f1-players.csv
blue;Vudrok;Steam;76561198048024175;403;Dominus;407;1586;7;7;7;13;5;5;100.0;407;45.39;2476;1803;673;25;63;535;326;209;5;21;49.66;52.69;427;666;180;1509;531421;198.75;49.91;149.28;37.49;50.15;12.59;212.07;53.26;169.78;42.64;16.33;4.1;11.79;0.15;79;359.9;359.9;1893;1474;2211;296.97;74.58;101.21;25.42;263.17;66.09;135.02;33.91;199.68;50.15;109.13;27.41;89.37;22.44;1;2;winner;8d673711-5980-4a03-9ddb-cb166057836c-players.csv
orange;pt;Steam;76561197983208712;23;Octane;407;893;5;0;13;7;7;7;38.46;390;40.38;2474;1863;611;23;56;915;663;252;7;25;55.67;23.89;314;443;44;1542;551128;191.78;47.58;146.07;36.24;65.19;16.17;222.64;55.24;161.64;40.11;18.76;4.65;8.14;0.09;86;359.7;359.7;1756;1330;2258;283.6;70.37;119.43;29.63;225.97;56.07;177.07;43.93;161.52;40.08;131.59;32.65;109.93;27.28;2;1;loser;8d673711-5980-4a03-9ddb-cb166057836c-players.csv
blue;wiIdrs;Epic;9a031b305b4f47608d635de0d7dcf9d7;4284;Fennec;271;438;1;3;4;11;7;7;25.0;371;34.03;1765;1222;543;14;46;545;401;144;5;12;45.35;15.94;211;170;91;1501;346637;135.45;50.75;92.83;34.78;38.63;14.47;141.47;53.0;119.51;44.78;5.93;2.22;2.8;0.06;45;241.9;241.9;1728;1365;1893;188.8;70.74;78.11;29.26;187.75;70.34;79.15;29.66;144.1;53.99;72.01;26.98;50.8;19.03;1;0;loser;8d69f0cc-7908-4d3d-9131-b22ef71d5be8-players.csv
orange;Twitch Rin;Epic;30a2677dbf264cae8142942418a493f0;4284;Fennec;271;1243;7;3;11;4;1;1;63.64;405;44.04;1643;1241;402;17;37;616;472;144;5;14;39.81;26.84;183;321;27;1536;350208;129.23;49.36;94.86;36.23;37.73;14.41;154.17;58.88;104.55;39.93;3.1;1.18;4.0;0.17;24;242.0;242.0;1835;1840;1831;209.71;80.1;52.11;19.9;145.19;55.45;116.63;44.55;103.54;39.55;86.88;33.18;71.4;27.27;0;1;winner;8d69f0cc-7908-4d3d-9131-b22ef71d5be8-players.csv
blue;lLuiza RL;Epic;7dc165079fb349358b58831c9adc3ab2;4284;Fennec;426;1335;7;3;7;12;6;6;100.0;397;37.08;2601;1692;909;23;83;577;316;261;4;25;61.94;22.78;337;535;83;1572;575928;196.2;46.89;142.99;34.17;79.26;18.94;197.18;47.12;203.44;48.62;17.83;4.26;4.73;0.13;36;374.0;374.0;1569;1243;1896;294.31;70.33;124.14;29.67;299.56;71.59;118.88;28.41;222.74;53.23;121.15;28.95;74.57;17.82;1;2;winner;8e248530-cc21-458b-9ace-e982cc52448d-players.csv
orange;.;Steam;76561198426578850;23;Octane;426;1026;6;0;12;7;7;7;50.0;480;41.43;3332;2474;858;32;72;1265;832;433;10;32;36.3;31.87;577;583;44;1534;566141;202.07;47.92;143.44;34.02;76.16;18.06;234.89;55.7;167.68;39.76;19.11;4.53;6.69;0.13;52;373.8;373.8;1724;1496;1953;323.86;76.8;97.81;23.2;234.01;55.49;187.67;44.51;158.46;37.58;137.33;32.57;125.88;29.85;2;1;loser;8e248530-cc21-458b-9ace-e982cc52448d-players.csv
blue;LuhSchmunk;Epic;ec4e67e3699249ceba5a970dacea7bef;4284;Fennec;425;903;3;4;6;17;10;10;50.0;510;32.34;3433;2583;850;29;75;399;202;197;3;18;91.75;24.02;456;113;81;1496;555572;207.17;48.84;152.93;36.05;64.06;15.1;215.9;50.9;196.56;46.34;11.69;2.76;14.7;0.13;112;374.1;374.1;1957;1654;2153;256.11;60.38;168.05;39.62;319.95;75.43;104.21;24.57;246.39;58.09;121.3;28.6;56.46;13.31;0;0;loser;8e357d65-ace0-4455-805b-05d11c69b208-players.csv
orange;reyn0ldo;Epic;2b7ec5e7cc364ec29433beb4f3662fac;4284;Fennec;425;1607;10;2;17;6;3;3;58.82;431;43.09;2891;2248;643;27;60;877;634;243;7;21;51.53;53.87;163;451;65;1473;546792;215.16;50.68;154.7;36.44;54.72;12.89;215.41;50.74;174.25;41.04;34.91;8.22;3.65;0.08;44;374.0;374.0;1707;1658;1795;355.94;83.84;68.63;16.16;209.19;49.27;215.38;50.73;138.8;32.69;148.08;34.88;137.69;32.43;0;0;winner;8e357d65-ace0-4455-805b-05d11c69b208-players.csv
blue;Lucas;Steam;76561198175362894;4284;Fennec;408;1185;5;3;12;8;6;6;41.67;407;40.72;3020;2386;634;28;59;729;456;273;5;27;53.9;101.42;321;315;58;1564;565015;184.37;45.18;164.92;40.41;58.79;14.41;205.69;50.4;180.19;44.16;22.2;5.44;2.64;0.17;16;364.2;364.2;2117;1643;2539;295.37;72.38;112.71;27.62;261.2;64.01;146.84;35.99;181.76;44.54;132.31;32.42;94.01;23.04;2;0;loser;8ef3fa35-39e0-4ab7-807d-3972decb341b-players.csv
orange;timele[s;Epic;2b3664ec5e094701b24c60a26af86d76;1919;Centio;408;1307;6;5;8;12;5;5;75.0;390;50.4;2742;2215;527;28;48;572;396;176;5;15;27.69;32.85;472;600;107;1475;528319;210.84;52.43;128.89;32.05;62.38;15.51;219.26;54.53;156.54;38.93;26.3;6.54;6.83;0.16;44;364.3;364.3;1912;1653;2201;310.27;77.16;91.84;22.84;261.47;65.02;140.64;34.98;190.66;47.41;131.38;32.67;80.07;19.91;0;2;winner;8ef3fa35-39e0-4ab7-807d-3972decb341b-players.csv
blue;Plant.;Steam;76561198091612555;4284;Fennec;112;604;3;2;4;3;0;0;75.0;415;43.54;839;643;196;7;18;118;47;71;1;6;6.28;13.33;20;56;52;1542;156050;51.95;46.18;43.14;38.35;17.41;15.48;53.0;47.11;54.92;48.82;4.58;4.07;3.65;0.15;24;98.5;98.5;1887;1985;1638;95.69;85.06;16.81;14.94;74.69;66.4;37.8;33.6;48.3;42.94;37.57;33.4;26.62;23.66;0;0;winner;8fde81f6-7fff-4d99-8a8d-e78d76762f8e-players.csv
orange;ad2littt;Epic;2a8551dceaa241eb870b8719c18f4256;4284;Fennec;112;153;0;1;3;4;3;3;0.0;522;47.6;1073;943;130;11;13;36;0;36;0;4;25.77;17.43;154;162;0;1646;162608;44.1;40.07;43.42;39.45;22.53;20.47;55.14;50.1;51.3;46.62;3.61;3.28;1.7;0.09;19;98.4;98.4;1898;795;2491;70.46;64.02;39.6;35.98;65.09;59.15;44.96;40.85;45.2;41.07;41.74;37.92;23.12;21.01;0;0;loser;8fde81f6-7fff-4d99-8a8d-e78d76762f8e-players.csv
blue;eeberrr;Steam;76561198815057828;4284;Fennec;134;653;3;3;5;4;1;1;60.0;410;41.05;761;579;182;8;16;282;246;36;3;3;7.53;17.08;39;220;53;1447;171187;76.34;57.02;38.03;28.4;19.52;14.58;67.09;50.11;55.44;41.41;11.36;8.48;2.5;0.13;19;116.1;116.1;1516;1179;2012;108.65;81.14;25.25;18.86;92.94;69.42;40.95;30.58;67.49;50.4;37.37;27.91;29.04;21.69;0;0;winner;908e9232-f369-4e93-9f54-d31e82e6a63c-players.csv
orange;Player 0;Epic;afe0d80250f84dd4880584059868d98f;4284;Fennec;134;358;1;2;4;5;3;3;25.0;377;44.02;897;636;261;8;24;425;296;129;3;13;11.35;11.18;83;163;3;1497;176210;68.04;51.08;41.58;31.22;23.58;17.7;76.02;57.07;49.58;37.22;7.6;5.71;1.63;0.14;12;116.0;116.0;1704;1082;2171;101.52;76.22;31.68;23.78;75.72;56.85;57.48;43.15;56.44;42.37;34.07;25.58;42.69;32.05;0;0;loser;908e9232-f369-4e93-9f54-d31e82e6a63c-players.csv
blue;berfy.;Epic;e4fe5e0c98644213ad6213f802a53989;23;Octane;416;944;5;1;10;11;7;7;50.0;514;43.71;3265;2535;730;30;63;884;614;270;8;23;36.65;31.79;330;270;41;1596;587994;184.6;44.74;150.82;36.56;77.15;18.7;211.19;51.19;188.76;45.75;12.62;3.06;12.4;0.1;124;370.4;370.4;1588;1258;1799;292.7;70.95;119.87;29.05;239.08;57.95;173.49;42.05;172.94;41.92;138.84;33.65;100.79;24.43;4;1;loser;940642d1-cfb2-4744-9c80-0e79d7b239b5-players.csv
orange;PabloEstablo;Steam;76561198025179848;5361;Dingo;416;1277;7;4;11;10;5;5;63.64;445;37.82;2834;1946;888;22;78;421;149;272;2;25;61.7;37.57;452;245;60;1504;539551;192.64;47.76;167.6;41.56;43.08;10.68;250.13;62.02;143.55;35.59;9.65;2.39;6.68;0.09;77;370.6;370.6;2029;2118;1946;307.19;76.16;96.14;23.84;268.98;66.69;134.35;33.31;182.93;45.35;142.18;35.25;78.22;19.39;1;4;winner;940642d1-cfb2-4744-9c80-0e79d7b239b5-players.csv
blue;dangerousdave67.;Epic;b1a92afc1d8945caa59bc990e7ab37f5;23;Octane;106;256;1;0;1;0;0;0;100.0;617;56.34;1083;1016;67;12;9;467;443;24;5;3;2.73;16.94;47;103;30;1422;138317;54.72;52.2;40.47;38.61;9.64;9.2;46.04;43.92;46.9;44.74;11.89;11.34;2.17;0.14;15;97.1;97.1;974;655;2178;69.76;66.55;35.07;33.45;47.25;45.07;57.58;54.93;30.41;29.01;38.48;36.71;35.94;34.28;0;0;winner;944026e7-4f73-4563-b374-b60a8240d953-players.csv
orange;GoldenNightmare;Steam;76561198280220178;4284;Fennec;106;20;0;0;0;1;1;1;0.0;293;45.76;191;119;72;2;6;75;52;23;1;2;6.73;4.4;18;80;47;567;47600;91.16;87.29;8.84;8.47;4.43;4.24;19.74;18.9;81.48;78.03;3.2;3.06;0.77;0.11;7;101.8;101.8;3298;852;1564;92.1;88.19;12.33;11.81;91.39;87.52;13.03;12.48;85.86;82.22;11.4;10.92;7.17;6.87;0;0;loser;944026e7-4f73-4563-b374-b60a8240d953-players.csv
blue;Not Kaizon;Epic;e4d42da92bd24a60bbda44b689b56de4;23;Octane;445;1119;6;3;9;11;9;9;66.67;447;45.42;3371;2651;720;31;65;607;420;187;5;17;40.34;37.16;429;451;79;1527;582279;215.43;48.85;167.25;37.93;58.29;13.22;245.47;55.66;183.11;41.52;12.4;2.81;8.45;0.1;84;386.5;386.5;1924;1571;2240;332.58;75.42;108.39;24.58;277.04;62.83;163.93;37.17;189.78;43.04;153.43;34.79;97.76;22.17;0;1;loser;95577e07-6614-42a4-a7bb-f3496538d1c5-players.csv
orange;russdigity;Epic;676aed7c0a80468eb2e19aafa80f03fb;4284;Fennec;445;1413;9;1;11;9;6;6;81.82;352;33.2;2538;1765;773;21;74;483;278;205;3;18;58.62;41.78;180;317;21;1497;568987;225.38;50.91;154.88;34.98;62.47;14.11;224.67;50.75;209.9;47.41;8.17;1.85;11.64;0.1;115;386.5;386.5;1823;1691;1910;337.98;76.34;104.76;23.66;298.95;67.52;143.79;32.48;215.52;48.68;142.81;32.26;84.41;19.07;1;0;winner;95577e07-6614-42a4-a7bb-f3496538d1c5-players.csv
blue;l TopGearTim l;XBox;89ca2f0600000900;4284;Fennec;373;925;4;2;8;8;3;3;50.0;423;44.04;2405;1647;758;23;68;650;308;342;5;31;55.56;25.06;295;660;191;1522;512112;177.67;48.45;131.82;35.94;57.24;15.61;205.22;55.96;153.47;41.85;8.04;2.19;5.71;0.11;52;343.7;343.7;1771;1670;1883;287.35;78.35;79.38;21.65;231.79;63.2;134.94;36.8;165.09;45.02;117.25;31.97;84.39;23.01;0;2;winner;96deb0cc-9742-487f-a54a-285f4b06501f-players.csv
orange;SubieFish;Epic;ed7c0870160c4f739c94026abbc0a852;4284;Fennec;373;849;3;2;8;8;4;4;37.5;459;52.23;2904;2332;572;29;53;798;546;252;7;23;30.2;36.52;216;371;116;1533;524188;170.04;45.6;148.38;39.79;54.45;14.6;168.01;45.06;174.23;46.73;30.63;8.21;9.01;0.13;71;343.7;343.7;1378;885;1877;243.68;65.35;129.18;34.65;210.54;56.47;162.32;43.53;163.42;43.83;104.06;27.91;105.38;28.26;2;0;loser;96deb0cc-9742-487f-a54a-285f4b06501f-players.csv
blue;PozzSka;Steam;76561197993701008;4284;Fennec;366;1142;7;2;8;6;4;4;87.5;401;38.3;1999;1308;691;19;59;405;229;176;3;14;77.79;51.44;238;474;71;1501;476887;177.23;49.34;138.35;38.52;43.61;12.14;197.04;54.86;151.88;42.28;10.27;2.86;10.82;0.14;80;322.2;322.2;2296;2001;2602;281.76;78.44;77.43;21.56;255.93;71.25;103.26;28.75;182.2;50.72;117.36;32.67;59.64;16.6;0;2;winner;96e0a555-4d19-4170-9913-b5d3938ef82c-players.csv
orange;MangoStacc;Epic;c6ce2c1258b742309363d02095533672;4284;Fennec;366;719;4;0;6;8;7;6;66.67;427;43.41;2364;1867;497;25;43;691;547;144;7;12;71.2;41.11;320;643;152;1471;467266;184.94;51.14;139.46;38.57;37.2;10.29;210.19;58.13;140.32;38.81;11.09;3.07;3.54;0.15;23;322.1;322.1;1675;1248;2039;259.18;71.68;102.42;28.32;213.88;59.15;147.72;40.85;149.97;41.47;114.22;31.59;97.41;26.94;2;0;loser;96e0a555-4d19-4170-9913-b5d3938ef82c-players.csv
blue;JD;Steam;76561198310532389;4284;Fennec;425;1312;8;1;11;4;3;3;72.73;403;43.2;2812;2058;754;24;66;910;536;374;6;33;55.92;41.79;188;360;74;1501;556728;204.15;49.16;156.49;37.68;54.66;13.16;215.88;51.98;187.05;45.04;12.37;2.98;9.17;0.18;50;379.3;379.3;1642;1453;1600;361.16;86.96;54.14;13.04;218.75;52.67;196.55;47.33;157.9;38.02;125.32;30.18;132.08;31.8;1;1;winner;9863bbb5-ceea-4cea-96a2-28d0b09d6a97-players.csv
orange;vr8m;Steam;76561199062840258;4284;Fennec;425;912;3;3;4;11;8;8;75.0;436;45.1;3030;2476;554;29;52;1075;917;158;10;14;65.15;35.43;325;408;82;1411;532581;234.17;55.58;140.15;33.27;46.99;11.15;204.85;48.62;196.96;46.75;19.5;4.63;9.01;0.12;76;380.8;380.8;1537;1100;1990;264.66;62.82;156.66;37.18;294.03;69.79;127.29;30.21;210.59;49.98;126.46;30.02;84.27;20.0;1;1;loser;9863bbb5-ceea-4cea-96a2-28d0b09d6a97-players.csv
blue;.;Steam;76561198059723377;23;Octane;324;791;5;0;7;2;2;2;71.43;393;44.84;2122;1572;550;20;50;424;201;223;3;22;42.0;32.13;214;433;105;1477;430829;157.76;49.11;125.9;39.2;37.55;11.69;166.19;51.74;137.7;42.87;17.32;5.39;6.4;0.12;54;295.1;295.1;1630;1639;1684;253.8;79.01;67.41;20.99;199.47;62.1;121.74;37.9;140.19;43.64;108.04;33.64;72.98;22.72;0;1;winner;99e4cd4c-8b2e-4ea9-b6e9-aed11585bcdf-players.csv
orange;DurrangoDooley;Steam;76561198446720856;23;Octane;324;510;2;1;2;7;5;5;100.0;417;44.5;2277;1827;450;22;40;354;193;161;3;14;45.36;42.66;249;372;106;1448;426368;166.04;51.19;129.82;40.02;28.5;8.79;188.58;58.14;129.17;39.82;6.61;2.04;10.92;0.16;67;295.1;295.1;1583;1198;1795;246.14;75.88;78.22;24.12;208.62;64.32;115.74;35.68;145.13;44.74;115.44;35.59;63.79;19.67;1;0;loser;99e4cd4c-8b2e-4ea9-b6e9-aed11585bcdf-players.csv
blue;PozzSka;Steam;76561197993701008;4284;Fennec;363;1160;5;5;9;7;2;2;55.56;384;46.98;2143;1694;449;22;39;455;263;192;4;17;54.5;57.52;256;433;133;1407;464372;192.74;54.02;122.36;34.3;41.67;11.68;190.56;53.41;157.94;44.27;8.27;2.32;20.07;0.27;74;334.2;334.2;2255;1597;2938;297.04;83.26;59.73;16.74;210.89;59.11;145.88;40.89;154.96;43.43;110.95;31.1;90.87;25.47;0;2;winner;9ad73c5d-9721-461b-b2e5-f5af92116c56-players.csv
orange;7_Legacy_7;Epic;5100f249a76f467cb2a42dfc9e2aa6e4;23;Octane;363;526;2;2;7;9;5;5;28.57;463;48.06;2678;2090;588;27;50;608;405;203;5;17;35.88;25.51;465;609;94;1544;513441;164.48;45.69;134.6;37.39;60.9;16.92;192.0;53.33;150.64;41.85;17.35;4.82;7.84;0.11;72;334.3;334.3;1659;1458;1876;243.32;67.59;116.67;32.41;234.2;65.06;125.79;34.94;165.85;46.07;118.88;33.02;75.25;20.9;2;0;loser;9ad73c5d-9721-461b-b2e5-f5af92116c56-players.csv
blue;NELOSAN;Steam;76561199076280735;4284;Fennec;430;1319;6;5;8;13;7;7;75.0;380;40.77;2397;1749;648;21;55;600;380;220;4;19;65.05;46.5;149;350;19;1518;568135;212.68;49.89;145.5;34.13;68.11;15.98;229.83;53.91;185.11;43.42;11.35;2.66;7.74;0.16;47;375.0;375.0;1753;1463;2098;350.26;82.16;76.03;17.84;253.77;59.53;172.52;40.47;179.66;42.15;153.07;35.91;93.55;21.95;0;0;loser;9bca3a01-adaf-43a1-90bb-229faa395cca-players.csv
orange;2mxchh;Steam;76561199090471152;4284;Fennec;430;1239;7;2;13;8;6;6;53.85;459;44.0;3452;2573;879;33;78;667;379;288;5;27;67.48;37.08;313;573;120;1510;566648;212.63;49.67;155.35;36.29;60.07;14.03;246.23;57.52;170.47;39.82;11.36;2.65;13.36;0.13;105;378.6;378.6;1405;1109;1595;317.59;74.19;110.46;25.81;277.46;64.82;150.59;35.18;203.7;47.59;126.28;29.5;98.07;22.91;0;0;winner;9bca3a01-adaf-43a1-90bb-229faa395cca-players.csv
blue;JT;Steam;76561198265434260;4284;Fennec;389;1112;5;4;11;12;4;4;45.45;417;44.43;2441;1681;760;22;70;423;205;218;3;19;44.66;38.55;534;363;32;1530;520680;181.73;47.12;130.58;33.86;73.33;19.02;233.85;60.64;139.12;36.07;12.68;3.29;6.94;0.09;77;363.8;363.8;2223;2057;2368;311.57;80.79;74.07;19.21;246.43;63.9;139.22;36.1;182.13;47.23;130.46;33.83;73.05;18.94;2;1;winner;9dafaf61-8675-4ecf-bc3e-a95b4cb629ad-players.csv
orange;M;Steam;76561199026209988;4284;Fennec;389;1002;4;3;12;11;5;5;33.33;591;44.96;3607;3065;542;37;49;870;652;218;7;20;48.86;33.97;389;517;47;1667;574769;151.96;39.72;135.76;35.49;94.86;24.79;183.46;47.95;178.85;46.75;20.27;5.3;9.15;0.13;68;352.5;352.5;1737;1385;2159;279.04;72.94;103.53;27.06;224.67;58.72;157.91;41.28;159.72;41.75;127.15;33.23;95.71;25.02;1;2;loser;9dafaf61-8675-4ecf-bc3e-a95b4cb629ad-players.csv
blue;Tonicized;Epic;a9e3b3a2fac04e56a71472ebeffa0772;4284;Fennec;316;996;1;7;7;9;0;0;14.29;495;49.81;2527;1975;552;25;48;955;790;165;8;15;42.85;27.55;535;329;9;1404;427927;170.39;54.43;99.44;31.76;43.24;13.81;188.98;60.36;113.64;36.3;10.45;3.34;5.72;0.12;46;309.0;309.0;1297;891;1601;246.51;78.74;66.56;21.26;171.2;54.68;141.87;45.32;129.9;41.49;89.77;28.67;93.4;29.83;0;1;winner;9efe21a6-8cd4-4178-9f77-14040a285999-players.csv
orange;t1di;Steam;76561199033611763;4284;Fennec;316;608;0;5;9;7;1;1;0.0;435;44.23;2384;1835;549;22;49;653;383;270;4;23;41.27;51.71;464;382;16;1512;465333;144.16;45.53;116.18;36.7;56.26;17.77;163.94;51.78;135.13;42.68;17.53;5.54;5.02;0.12;42;309.0;309.0;1273;1028;1499;232.51;73.44;84.09;26.56;188.54;59.55;128.06;40.45;137.41;43.4;87.05;27.5;92.13;29.1;1;0;loser;9efe21a6-8cd4-4178-9f77-14040a285999-players.csv
blue;guard is santa;Epic;14a889d0f1a143039f95ebab2cf2cab8;4284;Fennec;153;168;0;1;1;6;4;4;0.0;509;52.69;1300;1142;158;14;15;316;277;39;3;5;10.53;23.15;285;270;35;1573;207243;66.2;45.03;53.49;36.39;27.32;18.58;78.78;53.59;59.89;40.74;8.34;5.67;1.23;0.12;10;140.4;140.4;1712;1477;1838;108.27;73.65;38.74;26.35;101.83;69.27;45.18;30.73;74.0;50.34;40.13;27.3;32.87;22.36;1;2;loser;a071e0fe-1c48-42e3-bc25-f57d25a76173-players.csv
orange;Paksd1;Epic;c9ffc4a0a2dd45f499e11496015c356c;23;Octane;153;651;4;1;6;1;0;0;66.67;357;45.53;888;669;219;9;20;104;33;71;1;6;25.54;16.14;33;86;0;1577;214914;68.65;45.43;56.08;37.11;26.39;17.46;85.49;56.57;61.0;40.37;4.63;3.06;2.5;0.13;19;136.4;136.4;1658;1567;1858;128.41;84.97;22.71;15.03;97.24;64.34;53.89;35.66;73.51;48.64;45.86;30.35;31.75;21.01;2;1;winner;a071e0fe-1c48-42e3-bc25-f57d25a76173-players.csv
