color;player name;platform;player id;car id;car name;game duration;score;goals;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken;result;source_file
orange;Lukerr-;Epic;134e9445e59947e7a1e6550f2d10261d;23;Octane;394;1297;6;4;12;8;3;3;50.0;505;40.2;3100;2290;810;26;66;627;332;295;4;25;56.86;54.61;486;323;69;1629;584299;159.41;40.48;138.93;35.28;95.45;24.24;179.05;45.47;191.92;48.74;22.82;5.79;8.98;0.11;85;357.9;357.9;1779;1484;2052;307.39;78.06;86.4;21.94;233.26;59.23;160.53;40.77;165.07;41.92;122.23;31.04;106.5;27.04;1;0;winner;370a4994-cca3-4ba4-9991-472d897eb265-players.csv
blue;SC156;Epic;4e67f3631a834088a32924e3f82fc9ad;23;Octane;344;1651;10;3;15;4;1;1;66.67;415;47.78;2264;1818;446;24;42;630;437;193;6;17;20.43;36.29;290;378;102;1482;440047;173.42;50.99;115.86;34.06;50.84;14.95;188.4;55.39;137.25;40.35;14.47;4.25;6.63;0.12;57;304.2;304.2;1520;1594;1337;290.36;85.37;49.76;14.63;210.1;61.77;130.02;38.23;149.61;43.99;108.18;31.81;82.32;24.2;1;1;winner;372add22-16e9-4f53-a637-6a6e47b5eeb4-players.csv
orange;DRxSickness;Steam;76561198062019730;403;Dominus;344;612;1;4;4;15;10;10;25.0;369;44.66;2025;1514;511;18;46;181;0;181;0;16;31.91;24.36;595;295;0;1508;447091;171.21;50.53;118.4;34.94;49.21;14.52;203.59;60.09;132.26;39.04;2.96;0.87;3.63;0.14;26;300.4;300.4;1984;1619;2190;226.13;66.74;112.69;33.26;230.82;68.12;108.0;31.88;163.21;48.17;110.52;32.62;65.09;19.21;1;1;loser;372add22-16e9-4f53-a637-6a6e47b5eeb4-players.csv
blue;PoahWarDieFett;Epic;8db7bfb367a14801843c767f0d716735;23;Octane;331;589;1;4;6;8;5;5;16.67;442;42.31;2241;1678;563;21;51;470;272;198;4;19;43.42;56.77;467;429;132;1593;489583;141.05;42.67;123.23;37.28;66.29;20.05;182.47;55.2;133.26;40.31;14.84;4.49;2.23;0.14;16;309.6;309.6;1758;1316;2025;241.95;73.19;88.62;26.81;205.0;62.01;125.57;37.99;142.56;43.13;107.0;32.37;81.01;24.51;1;0;loser;375e1cdc-a49e-4c36-a72a-10b2fe4a08c0-players.csv
orange;Flowsen;Steam;76561197993140621;4284;Fennec;331;1008;5;4;8;6;1;1;62.5;536;50.91;2706;2187;519;30;47;672;456;216;6;20;19.77;42.48;433;573;119;1641;499885;126.84;38.73;122.73;37.48;77.89;23.79;157.21;48.01;139.24;42.52;31.01;9.47;4.9;0.09;52;305.5;305.5;1444;1252;1717;262.87;80.28;64.59;19.72;191.42;58.46;136.04;41.54;142.6;43.55;101.61;31.03;83.26;25.43;0;1;winner;375e1cdc-a49e-4c36-a72a-10b2fe4a08c0-players.csv
blue;testoi.;Epic;346c34a235f44394870a5629aafe791f;4284;Fennec;433;1135;5;3;7;10;5;5;71.43;351;39.41;2379;1776;603;22;46;323;184;139;3;12;56.5;39.32;194;214;66;1373;505017;234.31;55.91;151.25;36.09;33.52;8.0;251.52;60.02;145.5;34.72;22.05;5.26;3.54;0.19;19;396.1;396.1;1682;1305;2018;310.52;74.1;108.55;25.9;286.8;68.44;132.28;31.56;227.65;54.32;105.55;25.19;85.88;20.49;0;4;winner;3784e1b1-a04b-42fd-adb2-247e6969d159-players.csv
orange;Visitinq New Acc;Epic;8fe18bd6ac6745a5850f14a9c8c26fd0;23;Octane;433;909;5;0;10;7;5;5;50.0;516;46.55;3389;2703;686;37;62;1180;783;397;10;36;52.16;64.17;737;1013;221;1559;601345;193.48;44.79;168.64;39.04;69.81;16.16;262.3;60.73;160.04;37.05;9.59;2.22;12.33;0.14;88;388.9;388.9;1810;1506;2151;327.39;75.8;104.54;24.2;224.86;52.06;207.07;47.94;162.02;37.51;137.49;31.83;132.41;30.66;4;0;winner;3784e1b1-a04b-42fd-adb2-247e6969d159-players.csv
blue;Moogs.;Epic;ebbe00857d674cf08f876fcf1a4a038d;4284;Fennec;388;1405;8;3;12;7;4;4;66.67;414;48.62;2569;1987;582;23;53;653;396;257;4;22;45.21;38.03;342;312;3;1376;469453;218.74;56.44;122.5;31.61;46.31;11.95;228.01;58.83;146.12;37.7;13.42;3.46;8.92;0.15;59;344.2;344.2;1633;1524;1769;319.3;82.39;68.26;17.61;230.46;59.46;157.1;40.54;149.23;38.51;140.06;36.14;98.27;25.36;0;0;winner;38519d18-56b4-4f56-a700-06735aacd2a0-players.csv
orange;MKblack_41;Epic;ff47681438de4c97bfd0c330abdf8e2e;4284;Fennec;388;801;4;2;7;12;8;8;57.14;307;40.95;2136;1473;663;18;64;494;307;187;4;17;22.49;49.59;105;247;50;1334;451025;236.66;61.35;122.28;31.7;26.79;6.95;230.75;59.82;147.19;38.16;7.79;2.02;10.08;0.13;79;340.5;340.5;1654;1304;1832;266.35;69.05;119.39;30.95;254.15;65.89;131.59;34.11;179.86;46.63;140.35;36.38;65.54;16.99;0;0;loser;38519d18-56b4-4f56-a700-06735aacd2a0-players.csv
blue;buckorucko;Epic;909a4d03b8cb450f9e220ca66a71a6a6;23;Octane;404;953;4;4;9;12;9;9;44.44;438;44.72;2858;2145;713;25;55;777;467;310;5;20;51.5;29.89;310;347;32;1566;546010;173.88;43.87;156.1;39.38;66.37;16.75;197.48;49.83;181.08;45.69;17.78;4.49;4.2;0.14;31;353.3;353.3;1729;1349;2064;291.23;73.48;105.12;26.52;254.84;64.3;141.51;35.7;179.45;45.28;131.56;33.19;85.33;21.53;0;1;loser;389bb15b-7499-402e-9824-fb3aed58220b-players.csv
orange;PXRAN0IA;Epic;444f5f162b734876b256065c9415f063;4284;Fennec;404;1614;9;4;12;9;4;4;75.0;501;41.14;3443;2624;819;31;75;891;568;323;6;28;41.42;29.25;443;242;15;1638;581649;164.26;40.8;144.94;36.0;93.36;23.19;183.18;45.5;207.82;51.62;11.57;2.87;11.75;0.1;113;353.3;353.3;1639;1502;1769;308.47;76.63;94.09;23.37;251.19;62.4;151.38;37.6;176.1;43.75;131.06;32.56;95.4;23.7;1;0;winner;389bb15b-7499-402e-9824-fb3aed58220b-players.csv
blue;straight_line_johnson;Steam;76561199063128179;4284;Fennec;380;858;3;2;9;8;5;5;33.33;441;41.06;2561;1820;741;22;66;1010;694;316;9;27;30.59;35.52;540;389;205;1483;501986;177.61;47.67;151.97;40.79;43.01;11.54;216.16;58.02;145.69;39.1;10.74;2.88;7.78;0.12;64;346.5;346.5;1669;1393;1835;267.84;71.89;104.75;28.11;200.5;53.81;172.09;46.19;147.57;39.61;108.68;29.17;116.34;31.22;0;2;loser;389f6a97-999c-4b75-8720-47c4c971c7f5-players.csv
orange;Vudrok;Steam;76561198048024175;403;Dominus;380;1070;5;4;8;9;3;3;62.5;402;45.77;2443;1847;596;24;52;615;501;114;6;10;66.82;36.71;305;245;98;1451;500002;197.54;52.07;132.94;35.04;48.91;12.89;184.22;48.56;172.16;45.38;23.02;6.07;10.34;0.15;69;346.5;346.5;1556;1159;1950;266.53;70.25;112.87;29.75;259.45;68.38;119.95;31.62;212.5;56.01;80.82;21.3;86.08;22.69;2;0;winner;389f6a97-999c-4b75-8720-47c4c971c7f5-players.csv
blue;D34THS 4NG31;Epic;e93a1f03259840c68b93544061449fc9;4284;Fennec;348;929;5;1;7;3;2;2;71.43;396;43.59;2327;1843;484;22;42;634;478;156;5;13;33.47;69.42;293;356;21;1407;435128;201.21;59.0;104.84;30.74;34.96;10.25;192.93;56.58;134.18;39.35;13.89;4.07;5.53;0.12;45;318.7;318.7;1463;1265;1697;267.24;78.37;73.76;21.63;212.66;62.36;128.35;37.64;148.0;43.4;126.22;37.01;66.79;19.59;1;2;winner;3901ee52-453c-4394-8411-0bed7896ca99-players.csv
orange;PaulSquared2;Epic;c339fbfd974d43eca4ae2ca36c772ba9;23;Octane;348;508;2;2;3;7;5;5;66.67;464;44.45;2433;1926;507;24;47;549;359;190;5;19;55.65;37.94;284;367;83;1519;474472;159.16;46.43;139.8;40.78;43.86;12.79;203.9;59.48;130.45;38.05;8.47;2.47;5.27;0.08;65;318.4;318.4;1886;1439;2208;228.47;66.65;114.34;33.35;199.47;58.19;143.34;41.81;137.68;40.16;124.28;36.25;80.84;23.58;2;1;loser;3901ee52-453c-4394-8411-0bed7896ca99-players.csv
blue;BroBosco.;Epic;be7650e408554d6f8f63fcfa465a7588;23;Octane;369;1316;6;2;14;6;3;3;42.86;465;48.07;2568;2145;423;28;44;776;562;214;9;22;37.98;50.41;402;675;344;1536;505759;172.63;46.85;138.11;37.49;57.7;15.66;179.12;48.62;154.27;41.87;35.04;9.51;4.14;0.16;26;340.2;340.2;1456;1032;1976;294.02;79.8;74.42;20.2;209.63;56.9;158.8;43.1;168.73;45.8;92.63;25.14;107.08;29.06;1;0;winner;390acfcd-010e-4fc8-890c-01d212104f03-players.csv
orange;testoi.;Epic;346c34a235f44394870a5629aafe791f;4284;Fennec;369;918;3;5;6;14;6;6;50.0;351;42.68;2169;1603;566;19;52;433;197;236;2;21;48.25;47.68;129;132;4;1403;460153;206.35;56.5;119.6;32.75;39.27;10.75;226.37;61.98;116.91;32.01;21.93;6.0;4.94;0.19;26;336.2;336.2;1628;1156;1947;266.62;73.0;98.59;27.0;235.12;64.38;130.09;35.62;179.98;49.28;108.19;29.62;77.04;21.09;0;1;loser;390acfcd-010e-4fc8-890c-01d212104f03-players.csv
blue;in need of beans;Epic;4ff9d7cbbe5840b1a53bbbd3c19024cd;4284;Fennec;172;320;0;3;3;6;3;3;0.0;398;45.34;1022;668;354;8;31;251;97;154;1;13;16.85;11.23;80;129;0;1498;241757;83.23;48.24;66.48;38.53;22.84;13.24;89.17;51.67;73.62;42.66;9.77;5.66;1.52;0.08;18;160.0;160.0;1641;1293;1928;116.68;67.62;55.87;32.38;115.25;66.79;57.31;33.21;86.93;50.38;49.04;28.42;36.59;21.2;0;0;loser;3a65970d-3167-4e10-bc58-97b1dcc651fe-players.csv
orange;Bilth;Steam;76561198239528538;4284;Fennec;172;648;3;2;6;3;0;0;50.0;466;43.84;1275;1031;244;11;21;238;100;138;1;12;25.07;18.41;231;70;0;1500;240596;83.35;48.29;70.88;41.07;18.36;10.64;86.56;50.15;73.25;42.44;12.78;7.4;3.5;0.14;25;160.1;160.1;1444;1410;1528;137.07;79.42;35.52;20.58;88.83;51.47;83.76;48.53;61.19;35.45;56.16;32.54;55.24;32.01;0;0;winner;3a65970d-3167-4e10-bc58-97b1dcc651fe-players.csv
